pipe_id,node1,node2,length,diameter,roughness
1,1,2,97.279188734,1075.93249601,154.896952185
10,10,11,829.214869294,776.889649555,139.013338671
11,11,12,1047.07823472,711.267439509,119.73128317
12,12,13,3704.68993586,597.420117927,111.272085256
13,10,14,835.472386984,426.367257219,118.32454923
14,14,15,496.310413493,446.636257965,155.534500146
15,15,16,477.855403656,325.080851775,147.656095667
16,17,16,3107.31918153,435.30154788,154.761769762
17,17,18,1547.19713625,547.702985777,108.423902147
18,18,19,825.795351461,557.037854351,129.612965758
19,19,3,360.949257477,632.732008218,106.779318417
2,2,3,1385.84113029,945.485812036,129.696061345
20,3,20,2494.86812686,1068.59807433,149.714727366
21,20,21,1348.8808174,526.140735202,138.236585625
22,21,22,467.685661704,290.264606661,109.656975528
23,20,23,2595.68550759,929.565934402,114.346376792
24,23,24,1390.69506206,709.702500102,146.293207518
25,24,25,1479.29975257,759.394717073,130.814769584
26,26,25,789.916725288,541.258189288,134.878634744
27,27,26,323.613732685,282.403655116,146.476361024
28,16,27,729.682970732,300.610344464,140.293625403
29,23,28,1342.39555554,386.623103478,136.029753241
3,3,4,910.1464595,941.946894193,109.650395933
30,28,29,1903.30439744,417.449194578,136.705963861
31,29,30,1672.0468993,289.997757242,122.549530595
32,30,31,135.002366515,298.205774018,153.012517113
33,32,31,787.668723372,412.384672735,130.496687217
34,25,32,973.861083408,522.627313846,144.597297064
4,4,5,1236.24285922,1080.15563309,105.862445933
5,5,6,1360.59808957,1104.42914318,154.957349605
6,6,7,466.026080238,1016.67074264,135.584126874
7,7,8,809.74063831,917.837164309,133.018109508
8,8,9,722.888830182,1100.83933391,126.905331322
9,9,10,768.372063683,965.395368922,155.127528214
